,Watch Edm,Watch Cgy,Watch Other,Outbreak Edm,Outbreak Cgy,Outbreak Other
2020-09-09,0,0,0,0,1,1
2020-09-11,0,0,0,0,1,2
2020-09-13,0,0,0,0,3,2
2020-09-14,0,0,0,0,4,2
2020-09-15,0,1,0,0,4,2
2020-09-16,0,1,0,0,5,2
2020-09-17,0,1,0,2,5,3
2020-09-18,0,1,0,2,5,3
2020-09-19,0,1,0,2,5,3
2020-09-20,0,1,0,2,5,3
2020-09-21,0,1,0,3,7,5
2020-09-22,1,1,0,7,7,5
2020-09-23,1,1,0,9,7,5
2020-09-24,1,1,0,12,9,6
2020-09-25,2,1,0,13,10,7
2020-09-26,2,1,0,14,10,7
2020-09-27,2,1,0,17,13,7
2020-09-28,4,2,0,18,14,9
2020-09-29,4,2,1,18,14,8